0,0,397,0,0,0,0,0
288,1,358,0,39,0,39,0
576,2,319,0,78,0,78,0
864,3,280,0,117,0,117,0
1152,4,241,0,156,0,156,0
1440,5,201,0,196,0,195,1
1728,6,162,0,235,0,234,1
2016,7,122,0,275,0,273,2
2304,8,82,0,315,0,312,3
2592,9,47,0,350,0,347,3
2880,10,47,0,350,0,347,3
3168,11,47,0,350,0,347,3
3456,12,47,0,350,0,347,3
3744,13,47,0,350,0,347,3
4032,14,46,0,351,0,347,4
4320,15,46,0,351,0,347,4
4608,16,45,0,352,0,347,5
4896,17,45,0,352,0,347,5
5184,18,44,0,353,0,347,6
5472,19,43,0,354,0,347,7
5760,20,43,0,354,0,347,7
6048,21,43,0,354,0,347,7
6336,22,43,0,354,0,347,7
6624,23,43,0,354,0,347,7
6912,24,43,0,354,0,347,7
7200,25,43,0,354,0,347,7
7488,26,43,0,354,0,347,7
7776,27,42,0,355,0,347,8
8064,28,41,0,356,0,347,9
8352,29,41,0,356,0,347,9
8640,30,39,0,358,0,347,11
8928,31,38,0,359,0,347,12
9216,32,38,0,359,0,347,12
9504,33,38,0,359,0,347,12
9792,34,37,0,360,0,347,13
10080,35,37,0,360,0,347,13
10368,36,36,0,361,0,347,14
10656,37,36,0,361,0,347,14
10944,38,36,0,361,0,347,14
11232,39,35,0,362,0,347,15
11520,40,34,0,363,0,348,15
11808,41,33,0,364,0,348,16
12096,42,33,0,364,0,348,16
12384,43,33,0,364,0,348,16
12672,44,30,0,367,0,348,19
12960,45,30,0,367,0,348,19
13248,46,29,0,368,0,348,20
13536,47,28,0,369,0,348,21
13824,48,28,0,369,0,348,21
14112,49,28,0,369,0,348,21
14400,50,27,0,370,0,348,22
14688,51,26,0,371,0,348,23
14976,52,26,0,371,0,348,23
15264,53,26,0,371,0,348,23
15552,54,26,0,371,0,348,23
15840,55,26,0,371,0,348,23
16128,56,26,0,371,0,348,23
16416,57,26,0,371,0,348,23
16704,58,26,0,371,0,348,23
16992,59,26,0,371,0,348,23
17280,60,25,0,372,0,348,24
0,0,397,0,0,0,0,0
288,1,357,0,40,0,39,1
576,2,317,0,80,0,78,2
864,3,277,0,120,0,117,3
1152,4,238,0,159,0,156,3
1440,5,198,0,199,0,195,4
1728,6,159,0,238,0,234,4
2016,7,119,0,278,0,273,5
2304,8,80,0,317,0,312,5
2592,9,45,0,352,0,347,5
2880,10,44,0,353,0,347,6
3168,11,43,0,354,0,347,7
3456,12,43,0,354,0,347,7
3744,13,43,0,354,0,347,7
4032,14,43,0,354,0,347,7
4320,15,43,0,354,0,347,7
4608,16,41,0,356,0,347,9
4896,17,40,0,357,0,347,10
5184,18,38,0,359,0,347,12
5472,19,38,0,359,0,347,12
5760,20,37,0,360,0,347,13
6048,21,37,0,360,0,347,13
6336,22,37,0,360,0,347,13
6624,23,36,0,361,0,347,14
6912,24,36,0,361,0,347,14
7200,25,36,0,361,0,347,14
7488,26,36,0,361,0,347,14
7776,27,36,0,361,0,347,14
8064,28,35,0,362,0,347,15
8352,29,34,0,363,0,347,16
8640,30,33,0,364,0,347,17
8928,31,33,0,364,0,347,17
9216,32,33,0,364,0,347,17
9504,33,33,0,364,0,347,17
9792,34,33,0,364,0,347,17
10080,35,32,0,365,0,347,18
10368,36,32,0,365,0,347,18
10656,37,31,0,366,0,347,19
10944,38,29,0,368,0,347,21
11232,39,28,0,369,0,347,22
11520,40,28,0,369,0,347,22
11808,41,27,0,370,0,347,23
12096,42,27,0,370,0,347,23
12384,43,27,0,370,0,347,23
12672,44,27,0,370,0,347,23
12960,45,27,0,370,0,347,23
13248,46,27,0,370,0,347,23
13536,47,27,0,370,0,347,23
13824,48,26,0,371,0,347,24
14112,49,26,0,371,0,347,24
14400,50,25,0,372,0,347,25
14688,51,25,0,372,0,347,25
14976,52,25,0,372,0,347,25
15264,53,25,0,372,0,347,25
15552,54,24,0,373,0,347,26
15840,55,24,0,373,0,347,26
16128,56,24,0,373,0,347,26
16416,57,24,0,373,0,347,26
16704,58,23,0,374,0,347,27
16992,59,23,0,374,0,347,27
17280,60,23,0,374,0,347,27
0,0,397,0,0,0,0,0,0
288,1,358,0,39,0,39,0,39
576,2,319,0,78,0,78,0,78
864,3,279,0,118,0,117,1,118
1152,4,240,0,157,0,156,1,157
1440,5,201,0,196,0,195,1,196
1728,6,162,0,235,0,234,1,235
2016,7,122,0,275,0,273,2,275
2304,8,82,0,315,0,312,3,315
2592,9,45,0,352,0,347,5,352
2880,10,45,0,352,0,347,5,352
3168,11,45,0,352,0,347,5,352
3456,12,44,0,353,0,347,6,353
3744,13,44,0,353,0,347,6,353
4032,14,43,0,354,0,347,7,354
4320,15,43,0,354,0,347,7,354
4608,16,42,0,355,0,347,8,355
4896,17,42,0,355,0,347,8,355
5184,18,41,0,356,0,347,9,356
5472,19,41,0,356,0,347,9,356
5760,20,41,0,356,0,347,9,356
6048,21,41,0,356,0,347,9,356
6336,22,39,0,358,0,348,10,358
6624,23,38,0,359,0,348,11,359
6912,24,38,0,359,0,348,11,359
7200,25,36,0,361,0,348,13,361
7488,26,35,0,362,0,348,14,362
7776,27,34,0,363,0,348,15,363
8064,28,34,0,363,0,348,15,363
8352,29,32,0,365,0,348,17,365
8640,30,32,0,365,0,348,17,365
8928,31,31,0,366,0,348,18,366
9216,32,31,0,366,0,348,18,366
9504,33,30,0,367,0,348,19,367
9792,34,29,0,368,0,348,20,368
10080,35,29,0,368,0,348,20,368
